tweet;TweetID;Label;Unnamed: 2;Unnamed: 3
7 China Stocks That Are Poised To Double BIDU YGE TSL SCCO CHL SINA DANG;132454564329816065;4;;
"Out of LNKD Put Spread flat LNKD for profit
Longs WFM QCOM
Shorts FXI EEM BIDU";132466604628910080;2b;;
BIDU weak headed for 140 test;132457593682673664;0;;
140 was the baselaunchpad for BIDU yesterday playing out again today;132460722977378305;4;;
Aggressive buyers under 140 for BIDUcongrats to my brother who just nailed the HOD on weekly puts for 100 gainer;132468217967951872;4;;
Got out of all my short positions in EEM FXI BIDU;132469263570186241;4;;
Pulled NFLX AMZN puts stopped out of BIDU puts cause I do not want to sit here all day on a Friday   still green for the day;132482442010435584;0;;
Good  RT Ipotweet Groupon opens at 28  Where will it is first day pop rank GRPN LNKD BIDU YOKU QIHU CMG;132471471749611520;4;;
so much skepticism on tech IPOs these days  following the trend I am hands off IPOs Going BIDU through the weekend and may buy more;132527226146136064;2b;;
Tech Stocks Trading Higher Apple Inc BIDU SNDK SOLR   BIDU  ;48390163155533825;2a;;
SPY AAPL BIDU LULU Total distribution See ya at dow 11000 No buyers coming in at all;48437527543164928;0;;
YOKU Nice action today BIDU also acting well;48415552963747840;4;;
BIDU continues above descending trendline Still down gap unfilled from 218201 10 dma cross 20 dma bullish ;48430941328257024;4;;
Daniel bought 16424 shares of BIDU at 14317 in  ;132607863406333952;4;;
RT Techrice Blockbuster Rumor Facebook Partners with Baidu to Enter China by Klukoff BIDU;56405397711491072;2b;;
BIDU getting ahead of itself Drop down damnnit;56404994294939648;4;;
Goldmansuchs can you add BIDU to conviction sell please;56405933810647040;2a;;
Closed first leg of BIDU calendar Sold for 50 bot back for 05  Getting hit on 2nd leg though  Gonna risk holding til Monday;56408176559525888;2b;;
YOKU BIDU clown parade;56414398943735808;2b;;
BIDU traders sweeping up 48 145 weekly calls all day ;56413372618514432;4;;
BIDU now nearly 17 13 above my 320 buy point  Nice ;56420196172300288;4;;
TSM BIDU CHU CHT TLK MPEL SINA MR Asian Stocks 7NOV2011 ;133199321532350464;4;;
RT SeekingAlpha Weak Earnings Overpriced Stock Why I am Avoiding LinkedIn GRPN P GOOG BIDU NFLX LNKD;133205820648337408;0;;
BIDU    Closed with an inside week after finding support on the 10wk;133374552670601217;2b;;
betting on a monday reversal here with shorts mos bidu missed clf ;133559142345478144;0;;
out of WYNN for small profit Think anything with chinese story not working LVS BIDU;133639102812786688;2b;;
8020Financial GOOG buys on PF double top breakout BIDU set up to do likewise this week Small buy PCLN 50955 for earnings tonight;133640789388562432;2b;;
looking forward to SINA mimicking BIDU tomorrow;133647656814788608;2b;;
BIDU took out a medium term lower trendline today dating back to 1026;133649264151764993;0;;
5 Emerging Tech Stars To Consider Today RENN BIDU SIRI PCLN ACOM;133811003124236288;4;;
Fortunes Top 8 High Tech Picks Have They Weathered The Correction BIDU CRUS PCLN MELI EBIX AAPL;133889026099920896;4;;
BIDU  no in BIDU puts  Waitingn for 141 ;56423809506476032;4;;
BIDU  BIDU come on 50 more cents please ;56426732189794304;4;;
DUBSTRADER you shorted BIDU ;56452459295555584;2a;;
BIDU  in BIDU 140 puts waiting for a correction now a slight correction now saying it will go to 140 today but  ;56421613809307648;2b;;
Rumors of sina or bidu partnering with facebook to build a china social network Jimcramer;56471641827459072;4;;
BIDU strong here If GOOG were to get back into China watch out But that does not seem likely;56459906429104128;4;;
a few premarket movers  up MSSR BHP AAPL ATVI OVTI DYN NFLX BIDU DNDN YHOO BAC PCLN PLCM down fosl hos urbn amln trgt;133902161896677376;2b;;
short more BIDU at 14173;133920570709516288;0;;
A few TR1 long ideas going into today  ACE ARBA AXP BIDU CDNS EGOV ENTG LECO SE Z;133906439331782656;2a;;
Whats up with BIDU SINArelatively weak here;133922168689000448;0;;
covered BIDU at 14096;133923202882732033;4;;
short BIDU at 14233;133917839760433152;4;;
added a few more to bidu at 1386;133941911550562305;4;;
sold BIDU at 14134;133927116252250112;0;;
more BIDU at 13942;133940351462420482;4;;
Todays Hot Technology Stocks VHC AAPL ASML BIDU PCLN SAP;133925154232352768;4;;
more BIDU at 14022;133937315725840384;4;;
Valiant Capitals Recent Top Stock Picks AAPL GOOG LBTYA BRCM VRSN SCHW FMX BIDU NDZ HNT V YUM;133931801797337088;4;;
BIDU BIDU  Triangle thing going on ;133926596687044608;0;;
A Look at Upstart Hedge Fund Valiant Capital Management AAPL ADBE BIDU BRCM CTXS DTV GOOG LBTYA OPEN SINA;133953659359862784;2a;;
RT SeekingAlpha 7 Chinese Stocks Remind Me Of The Technology Bubble CTRP DANG LONG BIDU SINA YOKU QIHU;133952109774245889;0;;
BIDU  hourly looks even better and tighter;133962880088412160;4;;
the coil on BIDU daily chart is very VERY tight;133962773930590208;2a;;
short BIDU at 1407;133957990020681728;0;;
5 Overvalued Stocks That May Tumble CRM NFLX LNKD BIDU RENN GOOG RAX;133999746615480320;0;;
Valiant Capitals Recent Top Stock Picks AAPL BIDU BRCM CTXS FMX GOOG HNT LBTYA OPEN SCHW SINA V VRSN YUM;133982142244995072;4;;
BIDU needs to clear out post earning high stop loss the bottom of the range at 13810 good reentry will be 20dema ;133984128768028672;4;;
on top of my all in list for tomorrow if it breaks top side I will consider a long position   BIDU ;134008138708951040;4;;
SINA down ah   watch for sympathy moves on YOKU BiDU SOHU RENN  if does not recover  oh  its back that was fast;134020481127940096;2b;;
RT Insidermonkey Valiant Capitals Recent Top Stock Picks AAPL BIDU BRCM CTXS FMX GOOG HNT LBTYA OPEN S ;134016915000664065;4;;
great day for AAPL sold it all today Still bullish going into tmr but not as much Heavy on bonds LQD HYG Still rollin big on BIDU;134013163124424704;4;;
RT Klukoff Alibaba Group Had More Revenue Than Baidu in Q2 Yahoo Report Shows  iChinaStock YHOO BIDU;134136449682509824;0;;
Looking to sell into market strength tomorrow Chinese inflation number falls GM F BIDU VXX SODA CSCO WLT FCX ;134112677315346432;0;;
A few we are considering  ORCL ADBE BIDU SINA ROVI BRCM;134272043289030656;4;;
Like I said yest I was not impress with the AH actionstill short SINA add it to BIDU on AH yestWill remain short;134275000726331392;2a;;
Shit RT Swiftstories RT InsideNetwork Facebook Rumored to be Partnering w  BIDU to Launch New Social Ntwrk in China ;56497182316040192;4;;
CrappyStockTips you went long BIDU  I regret flipping out of LULU FOSL at 70 but I am still happy wresults BTU tough few days;56562160125489152;2b;;
LONG BIDU APKT CMG DECK MOS  really need to find a way to dump MOS total laggard at this point;56553952023543808;2b;;
BIDU is a beast watch out shorts facebook is coming ;56561195368456192;4;;
Bored2tears oh good Must have missed it Got BIDU puts at 14050 this morn;56498839682686976;0;;
RT Timseymour RTEmergingmoney Drill down into SINAs surprise loss MCOX and CRIC writedowns hurt but ad weakness ;134347063965138944;2a;;
BIDU still outperforming GLD YTD ;134362089035804672;4;;
Sina Valuation Gets Boost From Weibo Service SINA SOHU BIDU DATE NTES TCEHYPK;134352072379351040;4;;
Kory B made a pick on Stocial Long BIDU at 13815 ;134353265092608000;4;;
YahooFinance And Chinese internet stocks BIDU SINA beat GLD YTD;134365639606403072;2a;;
Youku Q3 Earnings Preview Defending The Turf In A Highly Competitive Industry TUDO RENN BIDU KUTV YOKU;134377256113020928;2a;;
BIDU trying to base but looks to be further vulnerable still;134363049162313728;2b;;
Drill down into SINAs surprise loss MCOX and CRIC writedowns hurt but ad sale weakness is troubling ALBCF BIDU;134398620429594626;0;;
BIDU BIDU Baidu Inc is not having a good day down over 3 1192011 full article ;134366210677673984;0;;
RIG AAPL AMZN DE BIDU BXP LULU CF RIO IOC DAR SINA  all potential short setups as they break down below trendlines;134393058002354176;0;;
Communism is apparently alive and kicking The Great Firewall of China BIDU SINA RENN YOKU GOOG TCTZF ;134423099151093760;0;;
RTEmergingmoney Drill down into SINAs surprise loss MCOX and CRIC writedowns hurt but ad weakness ALBCF BIDU;134511862288097280;0;;
Started a small position in bidu at close today  Lord help me ;134466358212698113;2b;;
BIDU  Under normal markets I would take this trade here or a few ticks lower closer to the 50 day ;134470406118703104;2b;;
another one that may provide a short entry   BIDU ;134402487829536769;0;;
Stock setup for today Nov10 2011 Short positions AAPL BIDU;134627110118621184;0;;
4 Overheating Tech Stocks To Avoid ACOM ERIC BIDU RENN SINA;134603730619351040;0;;
lulu bidu Looking for breakdowns;134648522741006336;0;;
bidu Gotta touch 200dma imo;134650543648931840;0;;
Still short SINA BIDU SLV nibble long GMCR  with a very tight stop ZSL long;134666061789396993;2b;;
Cnbcfastmoney Follow up todays trading call with short BIDU setup stock was down 368 1025 from daily highs ;134653403904221185;0;;
JuiceMkts probably not a bad idea all the momos are down goog aapl isrg pcln deck lulu wynn bidu ;134727051407142912;0;;
rolling big on HYG came out of BIDU a little;134738854254092288;2a;;
RT ChartSwingTrade RIG AAPL AMZN DE BIDU BXP LULU CF RIO SINA short setupsyday great job almost all of them down on 1 up day;134750408856977409;0;;
Michele bought 15633 shares of BIDU at 13675 in  ;134715129244823552;2a;;
BIDU retest trend supp holds resist at 15050 loses it supp at 1264 then 12178 looks lower;134787621065986048;0;;
BIDU Could be setting up on the daily lots of MA support underneath;135014054480711682;2a;;
BIDU intraday breakout;135035382298443778;4;;
BIDU having trouble;135005178993713152;0;;
Dlerch short squeeze I got long in pre market speccing a short squeeze 4 the weekend and it was duelon SINA BIDU GMCR AGQ;135011689396584449;2a;;
"HOT MOMENTUM stocks running GMCR AAPL MCP DIS GOOG BIDU DNDN BRLI AAPL AMZN SODA GRPN SINA EBAY CEDC
";135026183984250882;4;;
Stocks I am watching in the last 2 hours BIDU TIF BCPC LPSN GNC INT SLAB;135075760930160640;2a;;
still big on BIDU LQD HYG close to 50 of my exposure maybe no action from now til the close of the dayweek Limit orders are in;135078642505101312;2a;;
Commented on Internet Stocks Trade Long China Short BIDU GOOG YHOO MSFT AAPL YOKU SINA SOHU;56795847773523968;2b;;
HACK the STOCK MARKET  SECRET TO MAKING 225 STOCK TRADES  AUGT BAC BHP BIDU BMY BP BRK C CAM xa;56768739319873537;2a;;
SINA SOHU NTES BIDU most activelytraded Chinese stocks in New York   ;56726719842881536;4;;
StockTwits 50 April 9 via StockTwits50 JAZZ SLW LULU WTIC BIDU;56758729936343040;2a;;
BIDU Extended 75 past prior high of 13163   recent bo then support at 10week MA do not chase;56693455509929984;4;;
BIDU BIDU  Another take  Second target almost reached ;56855109296070656;4;;
BIDU BIDU  Off support ;56635275400577024;2a;;
Louis Navelliers Top Stock Picks CMG AZO IBM DLTR MJN MCD FDO AAPL GMCR CERN CTSH BIDU CRM EL;135690895948382217;4;;
Double bottom with handle buy point of 14778 BIDU ;135888034796277760;4;;
Michele bought 70608 shares of BIDU at 13776 in  ;135874889772044288;2a;;
Internet content industry grp with the biggest jump into the top rankings WoW    GOOG BIDU RATE;135868403788427264;4;;
BIDU  2 consecutive inside wks Price just above the 10wk SMA Volume last wk was 49 below avg Lowest wkly volume since March Tipoff;135889336188149762;0;;
Newbie SINA BIDU I am short Now;136093494614818817;0;;
BIDU looking interesting as it curls up off its 21d;136091653403459586;4;;
 stopped on BIDU short whipsawed on JCP long stopped on LULU short Market remains very tough ;136106356674531328;2b;;
BIDU continues to  hold 13900 controlled but sure looks like it wants to go higher today;136119688307556352;4;;
BIDU on 140 break watch then target trade to 148;136113752239124481;4;;
Watchlist GOOG AMZN BIDU IBM MA SKF  ;136101775366295552;2a;;
Missed a great entry today on BIDU 145 Calls  AMZN 225 Calls Feel like a douche;136102697945411585;4;;
Derek bought 1768 shares of BIDU at 13858 in  ;136151153657384960;2a;;
Tiger Global 13F out Added AAPL AMZN MA V PCLN BIDU Sold down YOKU SHLD NFLX ;136148042846978048;4;;
Stock Market Videos Euro Yields Rise So Stocks Fall  CAT MMM BIDU RIMM GOOG;136169135565574144;0;;
Cnbcfastmoney Stock setups for today Nov15 2011 Long positions QQQ AAPL BIDU AMZN;136420180334084096;4;;
Verified 16687 loss in BIDU Terrible Entry should have bought on the dip cut losses quickly on this one;136320955487227904;2a;;
If BIDU gets the deal I see 200 easy which is 2000 price from 40 stock in three years;57253765803294720;4;;
Top 10 USListed Chinese Stocks with Highest Return on Assets SCEI SCOK    BIDU  ;57086351308374016;4;;
DUBSTRADER oh yeah that thing is a beast riding since 73 Funny growth is so high that even with 90 pe PEG is under 10 LOL bidu;57089941116686337;4;;
RT Scobleizer MT Niubi chinese press reporting baidu insiders have confirmed facebook  bidu have signed deal ;57256187040772096;4;;
Why I Agree With Cramers Call for Caution ABT AFL BIDU CRM LULU MSFT NFLX PFE TEF XOM;57050427413381120;2a;;
BIDU This thing looks great long term support at 13684 Max pain stop if lost;136478193522708482;4;;
bidu goog took the spikes red to green ;136453396587749376;4;;
BIDU daily chart looks coiled over the last 3 days I feel an expansion coming soon;136480764291330049;4;;
 not buying BIDU breakout is good so far as it reversed on much higher volume so far;136480814757183488;2b;;
Top value stocks in the BRICs for week of Nov 14 according to ValuEngine BIDU makes the list for first time;136486020966400000;4;;
At 50 x multiples is BIDU a value play now CTRP on list too;136486273861959680;4;;
BIDU CF and PXD are that top of my list of longs if they break out;136493283286327296;4;;
Held 50 and 21d last week The 50d would have been an ideal entry Hindsight  BIDU ;136494180963844096;2a;;
BIDU looks interesting here near support for move uprelative strength the last few days;136488404664856576;4;;
BIDU Break of resistance 142 will come fast CALL;136497915668606976;2b;;
Many leaders now moving up more aggressively  AAPL PCLN ISRG BIDU SPRD FEIC GOOG PII PNRA etc;136498275594412032;4;;
Danshep55 You trade big stocks now too BIDU Are you using options;136497620578353152;2a;;
Here goes my BIDU;136497438474240000;2a;;
BIDU PCP PII NSC ETR CTSH breaking top sidealso IWM nearing new high of day market is now running away;136496888961699840;4;;
RT Tinyreal Stock Market Trading WList for 111411 AAPL AMZN GOOG BIDU PCLN GS AET GLD SLV OIL OIH A ;136550400693248000;4;;
BIDU BIDU  Back to the 200d SMA support rule again ;136519956106981377;0;;
New positoins put on today using options at teh breakouts are PCLN GOOG BIDU and MA been a while but it looks ok for higher here;136564591546208256;4;;
BIDU has been showing some relative strength latelyMight be setting up for long trade soon;136611591331385344;4;;
RT SuzyQJaco BIDU  great earnings  Volume expanded to upside  Worth owning a few  Next Buy area clearing  14250;136608804639997953;4;;
SuzyQJaco Short biased on BIDU pos;136608946365538304;0;;
BIDU BIDU  Sym triangle on weekly ;136637345402327041;2b;;
Chinese Internet Stocks Failed to Join Tech Rally BIDU SINA RENN DANG YOKU SOHU CTRP QIHU ;136676574224330752;0;;
Raymond James starts BIDU  STRONG BUYPT 18000;136812690634059776;4;;
A few long ideas  ALXN ANSS BIDU CDE DY FEIC GPOR GWR NUAN ONXX REXX SLAB TSS WAB WMB;136801696650240001;4;;
Hard to gauge stocks here but I like some indv names GOOG BIDU APA NOV PCLN;136851931074269185;4;;
 not a bad day markets are shaping up to end the day well inot the green Newest positoins BIDU PCLN and GOOG doing well MA struggling;136836237628682240;2b;;
"Unrelated to BIDU this is a cogent Must Read from 
MacroMeister Cycles Accelerating Hippies to OWS to Europe to US";136927514617593856;2a;;
BIDU BIDU Baidu Inc is going deeper in the red down over 2 11162011 full article ;136916924796903424;0;;
Whipsaw Wednesday If There Ever Was One  AMZN NFLX BIDU AAPL QID;136909598094397441;2b;;
BIDU came back below breakout level on low volumeDAMN;136937003727077376;2b;;
there is a reason baidu and tencent are very worried about zhou hongyi and qihoo bidu qihu;136971429022400513;2a;;
qihoo 1st  on 27m settlement ceo confirms it came from baidu impressivezhou hongyi won case against bidumust have hurt robin li qihu;136970811893493760;0;;
RT CuriosityFueled MT Niubi chinese press reporting baidu insiders have confirmed facebook  bidu have signed deal ;57256187770568704;4;;
got a no comment from bidu s Kaiserkuo on Chinese press reports of a FacebookBaidu deal  Baidu stock likely will pop even though;57261155638460417;4;;
RT Howardlindzon RT Niubi chinese press reporting insiders have confirmed facebook  BIDU have signed deal  ;57265769775497216;4;;
Bondtrader83 market will probably give bidu credit hope 2 c results in a few years time;57268944150597632;4;;
anyone know how to look up Baidu on the chinese stock exchanges BIDU;57258085512773633;2a;;
given crowdedmature state of SNS there is not much reason to expect Baidu 2b able 2 execute a successful SNS play so l8 in the game bidu;57261454910431232;0;;
not covering any piece of BIDU ss yet Tape is hinting it will get worse ;137199040038322177;2a;;
Capital Growth Management LPs Top Holdings in Q3 2011 AAPL BIDU PCLN CBS DAL HLF TIF UAL;137192336764579840;4;;
Baidu Blacklists Select Medical Terms from Paid Search  Marbridge Consultingwonder how much this will hit bidu revs;137141196169551872;2b;;
SCALPSWINGSTRADDLE madrose1 BIDU  lo 136 has been tough holding ;137199734770241536;4;;
SINA looking to add to my short poss BIDU looking to get long;137174870525100032;2b;;
Capital Growth Managements Top Holdings in the Technology Sector AAPL BIDU CYOU GOOG ORCL SOHU IBM WDC;137203661003702272;4;;
madrose1 BIDU  134s more weakness  here looked madrose1 ;137202109622910976;0;;
SCALPSWINGSTRADDLE madrose1 BIDU still on the slide nLOD 13366 ;137208437363838979;0;;
covered 12 BIDU ss  90 cents;137199902999580673;4;;
SCALPSWINGSTRADDLE madrose1 BIDU 134s more weakness here looked ;137203924519235585;0;;
Lost 40 week here High beta stocks continue to be shaky BIDU ;137211421602750464;0;;
BIDU straight down;137216994457034753;0;;
AAPL GOOG BIDU SINA all look weak and can get weaker soon market sentiment is negative now ;137214498351235072;0;;
BIDU BIDU Baidu Inc is not having a good day down over 3 11172011 full article ;137219378444898304;0;;
BIDU BIDU Baidu Inc is sinking to Day Low of 13360 11172011 full article ;137219379669639168;0;;
BIDU holding lower end of channel could buy for a bounce here and now;137218662015827968;4;;
Dlerch SINA just ride it until you can not ride it no more is breaking supports like nothinggood thing did not cover BIDU or GMCR;137223827703869441;0;;
SCALPSWINGSTRADDLE madrose1 BIDU 13060 after 9pts down  small ;137234363673874432;0;;
Heres Why Chinese Internet Stocks are Crashing YOKU BIDU RENN TUDO SOHU PWRD GA;137246464861675520;0;;
Can someone pls remind Mr Market that we are in the most bullish periods DJI SPX AAPL GOOG AMZN PCLN CF BIDU;137237515626233856;2a;;
Took small short position on BIDU based on the very educational Stockbee website Stockbee Worth every penny  ;137235168724398080;2a;;
AAPL GOOG BIDU SINA as noted earlier they are not only weak but may setting even larger fall ;137229154528661504;0;;
Neteases Q3 Earnings Increase To Record Levels BIDU SINA SOHU CYOU PWRD NTES;137246151077400577;2a;;
BIDU BIDU Baidu Inc is out by the woodshed being spanked over 5 11172011 full article ;137228268070903808;0;;
BUT  I also see many of the old influential leaders like AMZN LULU PCLN BIDU CMG looking sloppy and dragging down the QQQ;137257174668820480;0;;
RT Niubi Baidu Blacklists Select Medical Terms from Paid Search  wonder how much this will hit bidu revs;137272277128577024;0;;
BIDU back inot channel and moving quick;137254703577833472;2b;;
Baidu Gains on Site Updates China Online Advertising Growth BIDU GOOG YHOO;137260132756226048;4;;
BIDU clsoed back in the descending channel or handle of cup and handle;137290544396251136;2b;;
Tough day for YOKU those Chinese stocks are such a challenge anyone outside of China being very active in YOKU BIDU SINA  etc;137293762098507776;2a;;
Templeton bought 352 shares of BIDU at 13099 in  ;137251534533693440;2a;;
Daniel sold 16751 shares of BIDU at 13242 in  ;137324168449503232;2a;;
Nedgraham Ron Insana tells Fast Money Chinese stocks why bother BIDU is 3581 YTDnot a bother;137307921934598145;4;;
RT Trefis Baidu Gains on Site Updates China Online Advertising Growth BIDU GOOG YHOO;137380113238069248;4;;
BIDU BIDU has support  12216 on this 300day chart;137372622328578048;0;;
Stock indexes took a beating today  we update V TLT BIDU and NFLX ;137377572857188352;0;;
and now some numbers for tomorrows opex aapl option pain 390 actual pain 395 goog op 595 ap 605 amzn opap 215 bidu op 135 ap 140;137392725501816832;4;;
CRM 817 116 TVIX 385 VXX 188 VMW 161 LNKD 162 BIDU 059 FSYS 085 gt VXX climbing gratz CRM put holders;137539879935541249;0;;
RT Brendonchan Chan Trades Facebook enters China through BIDU ;57323852627312640;4;;
Stocks 2 Watch 04112011 BIDU SLKW JVA TZOO MDW MELI VRUS EXK JAZZ VHC FLDM GOLD YOKU KRA OPEN etc;57309989169147904;2a;;
Wondering what we might hear this week re Facebook and Baidu relations Intrigued BIDU;57362684538126336;2a;;
DE Shaws Favorite Long Term Stock Picks AAPL ABT APA ATVI AVB BIDU CAH COV CSCO DVA DVN ENDP;57342298211622912;4;;
BIDU  China press reporting Baidu insiders have confirmed facebook amp BIDU have signed deal ;57309694972268544;4;;
Brendonchan thanks I appreciate the information bidu;57323259007467520;2a;;
should be interesting to see what BIDU does this morning on the facebook news;57367366677442560;2a;;
BIDU Covered 125 P that expire today 14 to 37 also;137553004969721860;4;;
BIDU Short from earlier for fun Looks real weak;137551840886800384;0;;
Cabotdude talks BIDU AAPL AMZN PCLN LULU CMG EL GNC SPRD MELI TSLA NUAN in todays stock market video ;137564590224576513;2a;;
4 Trades For The January Effect HOV SPF TOL LEN BAC C SINA BIDU SOHU CSCO JDSU GLW ARBA OPEN;137563236760420352;4;;
DayTradingBuddy yeah BIDU is out of my price rangebut I feel like this market wants to stay red for the week;137576923827154944;0;;
Thank you BIDU;137575533155332097;4;;
Newbie2 well 4 your entertainment still Short SINA add it more  pre market add it heavy BIDU short and add it to GMCR no long poss;137565237682503680;2a;;
RT StockGoodies STOCKGOODIES PLAYS OF THE WEEK Shorting BIDU target 12426 ish ;137578828229902337;0;;
BIDU revisit lower ;137586652343304196;0;;
Another Falling Knife Youku Getting Killed LNKD BIDU YOKU;137593433647882240;2a;;
BIDU as noted yesterday it is heading 119 for a better reentry ;137582050503954434;0;;
Watch Chinese Companies EDU SPRD BIDU  Looks Like The Shorts Attacking;137627210528989184;4;;
BIDU BIDU Baidu Inc trading under 200 Day Moving Average 11182011 full article ;137630012370206721;0;;
Lets go BIDU    Do that funnky chicken    down down down;137619989644582912;2b;;
do not look now but AAPL GOOG BIDU AMZN PCLN CMG ISRG LULU DECK all down can we find new leadership please;137634755456925696;0;;
RT ZorTrades do not look now but AAPL GOOG BIDU AMZN PCLN CMG ISRG LULU DECK all down can we find new leadership please;137635749804777473;0;;
RT Aaatechtrading BIDU INFY AVGO SOHU EDU Asian Stocks 21NOV2011 ;138080438492213248;4;;
THE SECOND BEST CHOICE FOR BIDU SHOULD BE TUDO TO EXPAND ITS VIDEO BUSINESS;138313191326351360;2b;;
BIDU building inverse head and shoulders on weekly chart;138308700199854080;4;;
Verified 14594 loss in BIDU Another Terrible entry on Bidu arggh;138312810059923457;0;;
Ugliest chart contenders FOSL DB MS JEF BAC JPM BHI SLB CVX ANF BIDU POT  lots of overhead  AMZN needs to hold here;138293736630267904;0;;
What got killed this week CF AGU MOS SLV HOG PCLN BRCM BIDU CREE GLD RVBD WITH LINK ESF  ;138352897749549056;0;;
"The Big 10 names of the last Bull Market are on the ropesAAPL AMZN BIDU CMG DECK GMCR ISRG LULU NFLX PCLN  STUDY";138359040232263680;0;;
Citadel Advisors LLCs Top dings in the Technology Sector AAPL ATML AVGO BIDU BMC BRCM EQIX GOOG AMT EMC;138348063499628544;4;;
What got killed this week CF AGU MOS SLV HOG PCLN BRCM BIDU CREE GLD RVBD ouch for the bulls not a good sign ESF;138352701040898048;0;;
RT Place2b looking at bidu kkr tyc shz for buys this morning;57426725570752513;4;;
watchlist  YONG VVUS BIIB BIDU MON POT MOS AONE LVLT MDVN IBM RIG GILD EXPE;57431072849408001;2a;;
BIDU you want to be long likely today TYC see how it acts at 5130 SHAW below 3210 sees more downside MCP likely long esp on bo;57432461323407360;4;;
I have BIDU TYC MDVN MCP SHAW RIG VVUS inplay;57430505267793920;2a;;
RT Alleyinsider Facebook Strikes China Deal With Baidu BIDU by Pegobry ;57383643961769984;4;;
Baidu vs Yahoo Sell the Bubble Buy the Bargain BIDU YHOO;57433000677359618;2b;;
BIDU could go to around 105 or lower  COULD  Still short on that one;138627973686370304;0;;
QuantPrediction optimised BIDU to new peak ROI of 5455 pa over 10yrs data  ;138620220238602241;2a;;
SCALPSWINGSTRADDLE madrose1 BIDU 2nd trgt 124 hit 122 would be ;138615724645154817;2b;;
Caxton Associates Top Holdings in the Technology Sector ALTR BIDU DELL ERTS GOOG ORCL AMT CTL MSI VMW;138631524491853824;4;;
Join us today trading room for great intraday sessions AAPL GOOG BIDU SINA GMCR;138624434205507585;2a;;
SCALPSWINGSTRADDLE madrose1 BIDU now losing 120  guess ;138646432679870466;0;;
